"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"SC Braga","Estádio Municipal de Braga",30286,263324,15.49,51.1,"2022/2023","Portugalia",17,13,2,2,40,11,29,41
"CS Marítimo","Estádio do Marítimo",10600,144648,8.509,80.3,"2022/2023","Portugalia",17,6,3,8,21,23,-2,21
"Boavista Porto FC","Estádio do Bessa Século XXI",28263,110845,6.52,23.1,"2022/2023","Portugalia",17,8,6,3,23,21,2,30
"Gil Vicente FC","Estádio Cidade de Barcelos",12046,76983,4.528,37.6,"2022/2023","Portugalia",17,6,6,5,15,14,1,24
"FC Paços de Ferreira","Estádio Capital do Móvel",9076,75307,4.43,48.8,"2022/2023","Portugalia",17,3,2,12,13,33,-20,11
"GD Chaves","Estádio Municipal Eng.º Manuel Branco Teixeira",9000,66228,3.896,43.3,"2022/2023","Portugalia",17,6,5,6,20,21,-1,23
"FC Famalicão","Estádio Municipal de Famalicão",5305,64607,3.8,71.6,"2022/2023","Portugalia",17,9,1,7,21,19,2,28
"Casa Pia AC","Estádio Municipal de Rio Maior",6925,58179,3.422,49.4,"2022/2023","Portugalia",17,6,5,6,18,17,1,23
"FC Vizela","Estádio do Vizela",6565,56273,3.31,50.4,"2022/2023","Portugalia",17,5,4,8,18,19,-1,19
"Rió Ave FC","Estádio dos Arcos",5300,49395,2.906,54.8,"2022/2023","Portugalia",17,8,3,6,18,14,4,27
"GD Estoril Praia","Estádio António Coimbra da Mota",5000,42913,2.524,50.5,"2022/2023","Portugalia",17,7,2,8,20,24,-4,23
"CD Santa Clara","Estádio de São Miguel",12500,36727,2.16,17.3,"2022/2023","Portugalia",17,4,5,8,18,29,-11,17
"Portimonense SC","Portimonense Estádio",6000,33070,1.945,32.4,"2022/2023","Portugalia",17,6,3,8,14,21,-7,21
"FC Arouca","Estádio Municipal de Arouca",5600,31209,1.836,32.8,"2022/2023","Portugalia",17,10,2,5,22,17,5,32
"Benfika Lizbona","Estádio da Luz",64642,300542,60.108,93,"2023/2024","Portugalia",6,4,2,0,11,3,8,14
"Sporting CP","Estádio José Alvalade XXI",50095,223705,37.284,74.4,"2023/2024","Portugalia",8,8,0,0,19,6,13,24
"FC Porto","Estádio do Dragão",50033,205798,41.16,82.3,"2023/2024","Portugalia",6,4,1,1,9,5,4,13
"Vitoria Guimarães SC","Estádio D. Afonso Henriques",30029,95174,15.862,52.8,"2023/2024","Portugalia",8,6,0,2,18,9,9,18
"SC Braga","Estádio Municipal de Braga",30286,83381,16.676,55.1,"2023/2024","Portugalia",7,4,1,2,17,8,9,13
"Boavista Porto FC","Estádio do Bessa Século XXI",28263,60224,10.037,35.5,"2023/2024","Portugalia",8,2,3,3,12,16,-4,9
"Gil Vicente FC","Estádio Cidade de Barcelos",12046,28437,4.74,39.4,"2023/2024","Portugalia",7,3,3,1,19,11,8,12
"SC Farense","Estádio São Luís ",7000,27885,4.648,66.4,"2023/2024","Portugalia",8,3,2,3,13,9,4,11
"CF Estrela Amadora SAD","Estádio José Gomes",9288,24125,4.021,43.3,"2023/2024","Portugalia",7,3,0,4,8,9,-1,9
"GD Chaves","Estádio Municipal Eng.º Manuel Branco Teixeira",9000,21062,4.212,46.8,"2023/2024","Portugalia",7,2,1,4,12,16,-4,7
"FC Vizela","Estádio do Vizela",6565,20264,3.377,51.4,"2023/2024","Portugalia",8,1,3,4,7,12,-5,6
"FC Famalicão","Estádio Municipal de Famalicão",5305,19006,3.801,71.7,"2023/2024","Portugalia",7,3,2,2,7,8,-1,11
"Casa Pia AC","Estádio Municipal de Rio Maior",6925,18525,3.705,53.5,"2023/2024","Portugalia",6,1,2,3,3,5,-2,5
"GD Estoril Praia","Estádio António Coimbra da Mota",5000,17535,3.507,70.1,"2023/2024","Portugalia",6,3,1,2,13,5,8,10
"Moreirense FC","Estádio C. J. de Almeida Freitas",6153,16983,3.397,55.2,"2023/2024","Portugalia",7,3,2,2,11,8,3,11
"Rió Ave FC","Estádio dos Arcos",5300,16491,3.298,62.2,"2023/2024","Portugalia",8,2,3,3,11,13,-2,9
"Portimonense SC","Portimonense Estádio",6000,12127,2.425,40.4,"2023/2024","Portugalia",6,2,2,2,7,10,-3,8
"FC Arouca","Estádio Municipal de Arouca",5600,9677,1.613,28.8,"2023/2024","Portugalia",8,2,2,4,10,11,-1,8
"Manchester United","Old Trafford",74879,1435063,75.53,100.9,"2012/2013","Anglia",19,16,0,3,45,19,26,48
"FC Arsenal","Emirates Stadium",60704,1141498,60.079,99,"2012/2013","Anglia",19,11,5,3,47,23,24,38
"Newcastle United","St James' Park",52338,959826,50.517,96.5,"2012/2013","Anglia",19,9,1,9,24,31,-7,28
"Manchester City","Etihad Stadium",55017,892506,46.974,85.4,"2012/2013","Anglia",19,14,3,2,41,15,26,45
"FC Liverpool","Anfield",54074,850224,44.749,82.8,"2012/2013","Anglia",19,9,6,4,33,16,17,33
"Chelsea FC","Stamford Bridge",40853,787786,41.462,101.5,"2012/2013","Anglia",19,12,5,2,41,16,25,41
"AFC Sunderland","Stadium of Light",48707,770698,40.563,83.3,"2012/2013","Anglia",19,5,8,6,20,19,1,23
"FC Everton","Goodison Park",39571,690763,36.356,91.9,"2012/2013","Anglia",19,12,6,1,33,17,16,42
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,685257,36.066,58.1,"2012/2013","Anglia",19,11,5,3,29,18,11,38
"Aston Villa","Villa Park",42682,666135,35.06,82.1,"2012/2013","Anglia",19,5,5,9,23,28,-5,20
"West Ham United","London Stadium",62500,659614,34.717,55.6,"2012/2013","Anglia",19,9,6,4,34,22,12,33
"FC Southampton","St Mary's Stadium",32384,586242,30.855,95.3,"2012/2013","Anglia",19,6,7,6,26,24,2,25
"Stoke City","bet365 Stadium",30089,507727,26.722,88.8,"2012/2013","Anglia",19,7,7,5,21,22,-1,28
"Norwich City","Carrow Road",27244,506762,26.672,97.9,"2012/2013","Anglia",19,8,7,4,25,20,5,31
"FC Fulham","Craven Cottage",25700,483032,25.423,98.9,"2012/2013","Anglia",19,7,3,9,28,30,-2,24
"West Bromwich Albion","The Hawthorns",26850,478838,25.202,93.9,"2012/2013","Anglia",19,9,4,6,32,25,7,31
"FC Reading","Select Car Leasing Stadium",24161,453378,23.862,98.8,"2012/2013","Anglia",19,4,8,7,23,33,-10,20
"Swansea City","Swansea.com Stadium",21088,389037,20.476,97.1,"2012/2013","Anglia",19,6,8,5,28,26,2,26
"Wigan Athletic","DW Stadium",25133,367827,19.359,77,"2012/2013","Anglia",19,4,6,9,26,39,-13,18
"Queens Park Rangers","Loftus Road Stadium",18360,337799,17.779,96.8,"2012/2013","Anglia",19,2,8,9,13,28,-15,14
"Manchester United","Old Trafford",74879,1428928,75.207,100.4,"2013/2014","Anglia",19,9,3,7,29,21,8,30
"FC Arsenal","Emirates Stadium",60704,1140251,60.013,98.9,"2013/2014","Anglia",19,13,5,1,36,11,25,44
"Newcastle United","St James' Park",52338,957511,50.395,96.3,"2013/2014","Anglia",19,8,3,8,23,28,-5,27
"Manchester City","Etihad Stadium",55017,894527,47.08,85.6,"2013/2014","Anglia",19,17,1,1,63,13,50,52
"FC Liverpool","Anfield",54074,848750,44.671,82.6,"2013/2014","Anglia",19,16,1,2,53,18,35,49
"Chelsea FC","Stamford Bridge",40853,788153,41.482,101.5,"2013/2014","Anglia",19,15,3,1,43,11,32,48
"AFC Sunderland","Stadium of Light",48707,780706,41.09,84.4,"2013/2014","Anglia",19,5,3,11,21,27,-6,18
"FC Everton","Goodison Park",39571,716902,37.732,95.4,"2013/2014","Anglia",19,13,3,3,38,19,19,42
"Aston Villa","Villa Park",42682,685535,36.081,84.5,"2013/2014","Anglia",19,6,3,10,22,29,-7,21
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,680360,35.808,57.7,"2013/2014","Anglia",19,11,3,5,30,23,7,36
"West Ham United","London Stadium",62500,649741,34.197,54.7,"2013/2014","Anglia",19,7,3,9,25,26,-1,24
"FC Southampton","St Mary's Stadium",32384,574020,30.212,93.3,"2013/2014","Anglia",19,8,6,5,32,23,9,30
"Cardiff City","Cardiff City Stadium",33280,521165,27.43,82.4,"2013/2014","Anglia",19,5,5,9,20,35,-15,20
"Norwich City","Carrow Road",27244,509302,26.805,98.4,"2013/2014","Anglia",19,6,6,7,17,18,-1,24
"Stoke City","bet365 Stadium",30089,496607,26.137,86.9,"2013/2014","Anglia",19,10,6,3,27,17,10,36
"West Bromwich Albion","The Hawthorns",26850,478678,25.194,93.8,"2013/2014","Anglia",19,4,9,6,24,27,-3,21
"FC Fulham","Craven Cottage",25700,474563,24.977,97.2,"2013/2014","Anglia",19,5,3,11,24,38,-14,18
"Hull City","MKM Stadium",25586,458217,24.117,94.3,"2013/2014","Anglia",19,7,4,8,20,21,-1,25
"Crystal Palace","Selhurst Park",26047,458169,24.114,92.6,"2013/2014","Anglia",19,8,3,8,18,23,-5,27
"Swansea City","Swansea.com Stadium",21088,387725,20.407,96.8,"2013/2014","Anglia",19,6,5,8,33,26,7,23
"Manchester United","Old Trafford",74879,1431362,75.335,100.6,"2014/2015","Anglia",19,14,2,3,41,15,26,44
"FC Arsenal","Emirates Stadium",60704,1139843,59.992,98.8,"2014/2015","Anglia",19,12,5,2,41,14,27,41
"Newcastle United","St James' Park",52338,956823,50.359,96.2,"2014/2015","Anglia",19,7,5,7,26,27,-1,26
"Manchester City","Etihad Stadium",55017,861939,45.365,82.5,"2014/2015","Anglia",19,14,3,2,44,14,30,45
"FC Liverpool","Anfield",54074,848519,44.659,82.6,"2014/2015","Anglia",19,10,5,4,30,20,10,35
"AFC Sunderland","Stadium of Light",48707,820255,43.171,88.6,"2014/2015","Anglia",19,4,8,7,16,27,-11,20
"Chelsea FC","Stamford Bridge",40853,789376,41.546,101.7,"2014/2015","Anglia",19,15,4,0,36,9,27,49
"FC Everton","Goodison Park",39571,729711,38.406,97.1,"2014/2015","Anglia",19,7,7,5,27,21,6,28
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,678824,35.728,57.6,"2014/2015","Anglia",19,10,3,6,31,24,7,33
"West Ham United","London Stadium",62500,662552,34.871,55.8,"2014/2015","Anglia",19,9,4,6,25,18,7,31
"Aston Villa","Villa Park",42682,648518,34.133,80,"2014/2015","Anglia",19,5,6,8,18,25,-7,21
"Leicester City","King Power Stadium",32273,602165,31.693,98.2,"2014/2015","Anglia",19,7,5,7,28,22,6,26
"FC Southampton","St Mary's Stadium",32384,582395,30.652,94.7,"2014/2015","Anglia",19,11,4,4,37,13,24,37
"Stoke City","bet365 Stadium",30089,514547,27.081,90,"2014/2015","Anglia",19,10,3,6,32,22,10,33
"West Bromwich Albion","The Hawthorns",26850,476211,25.064,93.4,"2014/2015","Anglia",19,7,4,8,24,26,-2,25
"Crystal Palace","Selhurst Park",26047,463824,24.412,93.7,"2014/2015","Anglia",19,6,3,10,21,27,-6,21
"Hull City","MKM Stadium",25586,447584,23.557,92.1,"2014/2015","Anglia",19,5,5,9,19,24,-5,20
"Swansea City","Swansea.com Stadium",21088,390544,20.555,97.5,"2014/2015","Anglia",19,9,5,5,27,22,5,32
"FC Burnley","Turf Moor",21994,363483,19.131,87,"2014/2015","Anglia",19,4,7,8,14,21,-7,19
"Queens Park Rangers","Loftus Road Stadium",18360,338369,17.809,97,"2014/2015","Anglia",19,6,5,8,23,24,-1,23
"Manchester United","Old Trafford",74879,1430299,75.279,100.5,"2015/2016","Anglia",19,12,5,2,27,9,18,41
"FC Arsenal","Emirates Stadium",60704,1138944,59.944,98.8,"2015/2016","Anglia",19,12,4,3,31,11,20,40
"Manchester City","Etihad Stadium",55017,1026776,54.041,98.2,"2015/2016","Anglia",19,12,2,5,47,21,26,38
"Newcastle United","St James' Park",52338,945317,49.754,95.1,"2015/2016","Anglia",19,7,7,5,32,24,8,28
"FC Liverpool","Anfield",54074,834285,43.91,81.2,"2015/2016","Anglia",19,8,8,3,33,22,11,32
"AFC Sunderland","Stadium of Light",48707,818351,43.071,88.4,"2015/2016","Anglia",19,6,6,7,23,20,3,24
"Chelsea FC","Stamford Bridge",40853,788496,41.5,101.6,"2015/2016","Anglia",19,5,9,5,32,30,2,24
"FC Everton","Goodison Park",39571,724356,38.124,96.3,"2015/2016","Anglia",19,6,5,8,35,30,5,23
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,679741,35.776,57.7,"2015/2016","Anglia",19,10,6,3,35,15,20,36
"West Ham United","London Stadium",62500,663291,34.91,55.9,"2015/2016","Anglia",19,9,7,3,34,26,8,34
"Aston Villa","Villa Park",42682,640112,33.69,78.9,"2015/2016","Anglia",19,2,5,12,14,35,-21,11
"Leicester City","King Power Stadium",32273,608393,32.021,99.2,"2015/2016","Anglia",19,12,6,1,35,18,17,42
"FC Southampton","St Mary's Stadium",32384,584266,30.751,95,"2015/2016","Anglia",19,11,3,5,39,22,17,36
"Stoke City","bet365 Stadium",30089,523148,27.534,91.5,"2015/2016","Anglia",19,8,4,7,22,24,-2,28
"Norwich City","Carrow Road",27244,512471,26.972,99,"2015/2016","Anglia",19,6,5,8,26,30,-4,23
"Crystal Palace","Selhurst Park",26047,471683,24.825,95.3,"2015/2016","Anglia",19,6,3,10,19,23,-4,21
"West Bromwich Albion","The Hawthorns",26850,467995,24.631,91.7,"2015/2016","Anglia",19,6,5,8,20,26,-6,23
"Swansea City","Swansea.com Stadium",21088,393508,20.711,98.2,"2015/2016","Anglia",19,8,6,5,20,20,0,30
"FC Watford","Vicarage Road",21577,391281,20.594,95.4,"2015/2016","Anglia",19,6,6,7,20,19,1,24
"AFC Bournemouth","Vitality Stadium",11329,212586,11.189,98.8,"2015/2016","Anglia",19,5,5,9,23,34,-11,20
"Manchester United","Old Trafford",74879,1430502,75.29,100.6,"2016/2017","Anglia",19,8,10,1,26,12,14,34
"FC Arsenal","Emirates Stadium",60704,1139176,59.957,98.8,"2016/2017","Anglia",19,14,3,2,39,16,23,45
"West Ham United","London Stadium",62500,1082464,56.972,91.2,"2016/2017","Anglia",19,7,4,8,19,31,-12,25
"Manchester City","Etihad Stadium",55017,1026358,54.019,98.2,"2016/2017","Anglia",19,11,7,1,37,17,20,40
"FC Liverpool","Anfield",54074,1007311,53.016,98,"2016/2017","Anglia",19,12,5,2,45,18,27,41
"Chelsea FC","Stamford Bridge",40853,788645,41.508,101.6,"2016/2017","Anglia",19,17,0,2,55,17,38,51
"AFC Sunderland","Stadium of Light",48707,784450,41.287,84.8,"2016/2017","Anglia",19,3,5,11,16,34,-18,14
"FC Everton","Goodison Park",39571,742521,39.08,98.8,"2016/2017","Anglia",19,13,4,2,42,16,26,43
"Leicester City","King Power Stadium",32273,605968,31.893,98.8,"2016/2017","Anglia",19,10,4,5,31,25,6,34
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,601143,31.639,51,"2016/2017","Anglia",19,17,2,0,47,9,38,53
"FC Southampton","St Mary's Stadium",32384,587787,30.936,95.5,"2016/2017","Anglia",19,6,6,7,17,21,-4,24
"FC Middlesbrough","Riverside Stadium",33746,578539,30.449,90.2,"2016/2017","Anglia",19,4,6,9,17,23,-6,18
"Stoke City","bet365 Stadium",30089,521230,27.433,91.2,"2016/2017","Anglia",19,7,6,6,24,24,0,27
"Crystal Palace","Selhurst Park",26047,478052,25.161,96.6,"2016/2017","Anglia",19,6,2,11,24,25,-1,20
"West Bromwich Albion","The Hawthorns",26850,453646,23.876,88.9,"2016/2017","Anglia",19,9,2,8,27,22,5,29
"Hull City","MKM Stadium",25586,392466,20.656,80.7,"2016/2017","Anglia",19,8,4,7,28,35,-7,28
"Swansea City","Swansea.com Stadium",21088,391766,20.619,97.8,"2016/2017","Anglia",19,8,3,8,27,34,-7,27
"FC Watford","Vicarage Road",21577,390849,20.571,95.3,"2016/2017","Anglia",19,8,4,7,25,29,-4,28
"FC Burnley","Turf Moor",21994,390609,20.558,93.5,"2016/2017","Anglia",19,10,3,6,26,20,6,33
"AFC Bournemouth","Vitality Stadium",11329,212464,11.182,98.7,"2016/2017","Anglia",19,9,4,6,35,29,6,31
"Manchester United","Old Trafford",74879,1424537,74.976,100.1,"2017/2018","Anglia",19,15,2,2,38,9,29,47
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,1282417,67.496,108.8,"2017/2018","Anglia",19,13,4,2,40,16,24,43
"FC Arsenal","Emirates Stadium",60704,1127133,59.323,97.7,"2017/2018","Anglia",19,15,2,2,54,20,34,47
"West Ham United","London Stadium",62500,1080812,56.885,91,"2017/2018","Anglia",19,7,6,6,24,26,-2,27
"Manchester City","Etihad Stadium",55017,1022433,53.812,97.8,"2017/2018","Anglia",19,16,2,1,61,14,47,50
"FC Liverpool","Anfield",54074,1007931,53.049,98.1,"2017/2018","Anglia",19,12,7,0,45,10,35,43
"Newcastle United","St James' Park",52338,987844,51.992,99.3,"2017/2018","Anglia",19,8,4,7,21,17,4,28
"Chelsea FC","Stamford Bridge",40853,784353,41.282,101.1,"2017/2018","Anglia",19,11,4,4,30,16,14,37
"FC Everton","Goodison Park",39571,737143,38.797,98,"2017/2018","Anglia",19,10,4,5,28,22,6,34
"Leicester City","King Power Stadium",32273,600083,31.583,97.9,"2017/2018","Anglia",19,7,6,6,25,22,3,27
"FC Southampton","St Mary's Stadium",32384,585084,30.794,95.1,"2017/2018","Anglia",19,4,7,8,20,26,-6,19
"Brighton & Hove Albion","AMEX Stadium",31800,577647,30.402,95.6,"2017/2018","Anglia",19,7,8,4,24,25,-1,29
"Stoke City","bet365 Stadium",30089,556317,29.28,97.3,"2017/2018","Anglia",19,5,5,9,20,30,-10,20
"Crystal Palace","Selhurst Park",26047,476229,25.065,96.2,"2017/2018","Anglia",19,7,5,7,29,27,2,26
"West Bromwich Albion","The Hawthorns",26850,465888,24.52,91.3,"2017/2018","Anglia",19,3,9,7,21,29,-8,18
"Huddersfield Town","John Smith's Stadium",24500,456796,24.042,98.1,"2017/2018","Anglia",19,6,5,8,16,25,-9,23
"FC Burnley","Turf Moor",21994,393080,20.688,94.1,"2017/2018","Anglia",19,7,5,7,16,17,-1,26
"Swansea City","Swansea.com Stadium",21088,391827,20.622,97.8,"2017/2018","Anglia",19,6,3,10,17,24,-7,21
"FC Watford","Vicarage Road",21577,384385,20.231,93.8,"2017/2018","Anglia",19,7,6,6,27,31,-4,27
"AFC Bournemouth","Vitality Stadium",11329,202154,10.64,93.9,"2017/2018","Anglia",19,7,5,7,26,30,-4,26
"Manchester United","Old Trafford",74879,1415471,74.498,99.5,"2018/2019","Anglia",19,10,6,3,33,25,8,36
"FC Arsenal","Emirates Stadium",60704,1138072,59.899,98.7,"2018/2019","Anglia",19,14,3,2,42,16,26,45
"West Ham United","London Stadium",62500,1108375,58.336,93.3,"2018/2019","Anglia",19,9,4,6,32,27,5,31
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,1030111,54.216,87.4,"2018/2019","Anglia",19,12,2,5,34,16,18,38
"Manchester City","Etihad Stadium",55017,1028477,54.13,98.4,"2018/2019","Anglia",19,18,0,1,57,12,45,54
"FC Liverpool","Anfield",54074,1006668,52.983,98,"2018/2019","Anglia",19,17,2,0,55,10,45,53
"Newcastle United","St James' Park",52338,971297,51.121,97.7,"2018/2019","Anglia",19,8,1,10,24,25,-1,25
"Chelsea FC","Stamford Bridge",40853,768387,40.441,99,"2018/2019","Anglia",19,12,6,1,39,12,27,42
"FC Everton","Goodison Park",39571,741815,39.043,98.7,"2018/2019","Anglia",19,10,4,5,30,21,9,34
"Leicester City","King Power Stadium",32273,605161,31.851,98.7,"2018/2019","Anglia",19,8,3,8,24,20,4,27
"Cardiff City","Cardiff City Stadium",33280,596751,31.408,94.4,"2018/2019","Anglia",19,6,2,11,21,38,-17,20
"Wolverhampton Wanderers","Molineux Stadium",32050,589472,31.025,96.8,"2018/2019","Anglia",19,10,4,5,28,21,7,34
"Brighton & Hove Albion","AMEX Stadium",31800,578085,30.426,95.7,"2018/2019","Anglia",19,6,5,8,19,28,-9,23
"FC Southampton","St Mary's Stadium",32384,572640,30.139,93.1,"2018/2019","Anglia",19,5,8,6,27,30,-3,23
"Crystal Palace","Selhurst Park",26047,483644,25.455,97.7,"2018/2019","Anglia",19,5,5,9,19,23,-4,20
"FC Fulham","Craven Cottage",25700,463051,24.371,94.8,"2018/2019","Anglia",19,6,3,10,22,36,-14,21
"Huddersfield Town","John Smith's Stadium",24500,443456,23.34,95.3,"2018/2019","Anglia",19,2,3,14,10,31,-21,9
"FC Burnley","Turf Moor",21994,390148,20.534,93.4,"2018/2019","Anglia",19,7,2,10,24,32,-8,23
"FC Watford","Vicarage Road",21577,380297,20.016,92.8,"2018/2019","Anglia",19,8,3,8,26,28,-2,27
"AFC Bournemouth","Vitality Stadium",11329,200107,10.532,93,"2018/2019","Anglia",19,8,5,6,30,25,5,29
"Manchester United","Old Trafford",74879,1090656,72.71,97.1,"2019/2020","Anglia",19,10,7,2,40,17,23,37
"FC Arsenal","Emirates Stadium",60704,904188,60.279,99.3,"2019/2020","Anglia",19,10,6,3,36,24,12,36
"West Ham United","London Stadium",62500,838943,59.925,95.9,"2019/2020","Anglia",19,6,4,9,30,33,-3,22
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,831374,59.384,95.7,"2019/2020","Anglia",19,12,3,4,36,17,19,39
"FC Liverpool","Anfield",54074,797143,53.143,98.3,"2019/2020","Anglia",19,18,1,0,52,16,36,55
"Manchester City","Etihad Stadium",55017,704846,54.219,98.6,"2019/2020","Anglia",19,15,2,2,57,13,44,47
"Newcastle United","St James' Park",52338,675471,48.248,92.2,"2019/2020","Anglia",19,6,8,5,20,21,-1,26
"Chelsea FC","Stamford Bridge",40853,608444,40.563,99.3,"2019/2020","Anglia",19,11,3,5,30,16,14,36
"FC Everton","Goodison Park",39571,548103,39.15,98.9,"2019/2020","Anglia",19,8,7,4,24,21,3,31
"Aston Villa","Villa Park",42682,541594,41.661,97.6,"2019/2020","Anglia",19,7,3,9,22,30,-8,24
"Leicester City","King Power Stadium",32273,480920,32.061,99.3,"2019/2020","Anglia",19,11,4,4,35,17,18,37
"Wolverhampton Wanderers","Molineux Stadium",32050,470407,31.36,97.9,"2019/2020","Anglia",19,8,7,4,27,19,8,31
"Sheffield United","Bramall Lane",32702,463569,30.905,94.5,"2019/2020","Anglia",19,10,3,6,24,15,9,33
"FC Southampton","St Mary's Stadium",32384,445129,29.675,91.6,"2019/2020","Anglia",19,6,3,10,21,35,-14,21
"Brighton & Hove Albion","AMEX Stadium",31800,424986,30.356,95.5,"2019/2020","Anglia",19,5,7,7,20,27,-7,22
"Norwich City","Carrow Road",27244,378303,27.022,99.2,"2019/2020","Anglia",19,4,3,12,19,37,-18,15
"Crystal Palace","Selhurst Park",26047,375902,25.06,96.2,"2019/2020","Anglia",19,6,5,8,15,20,-5,23
"FC Burnley","Turf Moor",21994,303899,20.26,92.1,"2019/2020","Anglia",19,8,4,7,24,23,1,28
"FC Watford","Vicarage Road",21577,291713,20.837,96.6,"2019/2020","Anglia",19,6,6,7,22,27,-5,24
"AFC Bournemouth","Vitality Stadium",11329,147146,10.51,92.8,"2019/2020","Anglia",19,5,6,8,22,30,-8,21
"FC Liverpool","Anfield",54074,16000,4,7.4,"2020/2021","Anglia",19,10,3,6,29,20,9,33
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,12000,6,9.7,"2020/2021","Anglia",19,10,3,6,35,20,15,33
"West Ham United","London Stadium",62500,12000,6,9.6,"2020/2021","Anglia",19,10,4,5,32,22,10,34
"Brighton & Hove Albion","AMEX Stadium",31800,11945,3.982,12.5,"2020/2021","Anglia",19,4,9,6,22,22,0,21
"FC Everton","Goodison Park",39571,10068,3.356,8.5,"2020/2021","Anglia",19,6,4,9,24,28,-4,22
"FC Arsenal","Emirates Stadium",60704,10000,10,16.5,"2020/2021","Anglia",19,8,4,7,24,21,3,28
"Manchester City","Etihad Stadium",55017,10000,10,18.2,"2020/2021","Anglia",19,13,2,4,43,17,26,41
"Newcastle United","St James' Park",52338,10000,10,19.1,"2020/2021","Anglia",19,6,5,8,26,33,-7,23
"Manchester United","Old Trafford",74879,10000,10,13.4,"2020/2021","Anglia",19,9,4,6,38,28,10,31
"Chelsea FC","Stamford Bridge",40853,9195,4.598,11.3,"2020/2021","Anglia",19,9,6,4,31,18,13,33
"Crystal Palace","Selhurst Park",26047,8500,4.25,16.3,"2020/2021","Anglia",19,6,5,8,20,32,-12,23
"Leeds United","Elland Road",37890,8000,8,21.1,"2020/2021","Anglia",19,8,5,6,28,21,7,29
"Leicester City","King Power Stadium",32273,8000,8,24.8,"2020/2021","Anglia",19,9,1,9,34,30,4,28
"West Bromwich Albion","The Hawthorns",26850,5371,5.371,20,"2020/2021","Anglia",19,3,6,10,15,39,-24,15
"Sheffield United","Bramall Lane",32702,5096,5.096,15.6,"2020/2021","Anglia",19,5,1,13,12,27,-15,16
"FC Southampton","St Mary's Stadium",32384,4000,2,6.2,"2020/2021","Anglia",19,8,3,8,28,25,3,27
"FC Fulham","Craven Cottage",25700,4000,2,7.8,"2020/2021","Anglia",19,2,4,13,9,28,-19,10
"FC Burnley","Turf Moor",21994,3500,3.5,15.9,"2020/2021","Anglia",19,4,6,9,14,27,-13,18
"Aston Villa","Villa Park",42682,0,0,0,"2020/2021","Anglia",19,7,4,8,29,27,2,25
"Wolverhampton Wanderers","Molineux Stadium",32050,0,0,0,"2020/2021","Anglia",19,7,4,8,21,25,-4,25
"Manchester United","Old Trafford",74879,1389856,73.15,97.7,"2021/2022","Anglia",19,10,5,4,32,22,10,35
"FC Arsenal","Emirates Stadium",60704,1136406,59.811,98.5,"2021/2022","Anglia",19,13,2,4,35,17,18,41
"West Ham United","London Stadium",62500,1112814,58.569,93.7,"2021/2022","Anglia",19,9,5,5,33,26,7,32
"Tottenham Hotspur","Tottenham Hotspur Stadium",62062,1073936,56.523,91.1,"2021/2022","Anglia",19,13,1,5,38,19,19,40
"FC Liverpool","Anfield",54074,1007153,53.008,98,"2021/2022","Anglia",19,15,4,0,49,9,40,49
"Manchester City","Etihad Stadium",55017,1002028,52.738,95.9,"2021/2022","Anglia",19,15,2,2,58,15,43,47
"Newcastle United","St James' Park",52338,978251,51.487,98.4,"2021/2022","Anglia",19,8,6,5,26,27,-1,30
"FC Everton","Goodison Park",39571,738758,38.882,98.3,"2021/2022","Anglia",19,9,2,8,27,25,2,29
"Aston Villa","Villa Park",42682,708067,41.651,97.6,"2021/2022","Anglia",19,6,5,8,29,29,0,23
"Chelsea FC","Stamford Bridge",40853,692419,36.443,89.2,"2021/2022","Anglia",19,9,7,3,37,22,15,34
"Leeds United","Elland Road",37890,653140,36.286,95.8,"2021/2022","Anglia",19,4,6,9,19,38,-19,18
"Leicester City","King Power Stadium",32273,606869,31.94,99,"2021/2022","Anglia",19,10,4,5,34,23,11,34
"Brighton & Hove Albion","AMEX Stadium",31800,587918,30.943,97.3,"2021/2022","Anglia",19,5,7,7,19,23,-4,22
"Wolverhampton Wanderers","Molineux Stadium",32050,521772,30.692,95.8,"2021/2022","Anglia",19,7,3,9,20,25,-5,24
"Crystal Palace","Selhurst Park",26047,461349,24.282,93.2,"2021/2022","Anglia",19,7,8,4,27,17,10,29
"FC Southampton","St Mary's Stadium",32384,448223,29.882,92.3,"2021/2022","Anglia",19,6,7,6,23,24,-1,25
"Norwich City","Carrow Road",27244,430124,26.883,98.7,"2021/2022","Anglia",19,3,3,13,12,43,-31,12
"FC Watford","Vicarage Road",21577,391369,20.598,95.5,"2021/2022","Anglia",19,2,2,15,17,46,-29,8
