"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"Internacional Porto Alegre","Estádio Beira-Rio",50848,427624,22.507,44.3,"2018/2019","Brazylia",19,11,6,2,28,15,13,39
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,408379,21.494,26.1,"2018/2019","Brazylia",19,6,7,6,18,15,3,25
"Clube de Regatas Vasco da Gama","Estádio São Januário",24584,406676,21.404,87.1,"2018/2019","Brazylia",19,7,6,6,20,22,-2,27
"Grêmio Porto Alegre","Arena do Grêmio",60540,365119,19.217,31.7,"2018/2019","Brazylia",19,12,3,4,38,18,20,39
"Atlético Mineiro","Arena MRV",46000,361838,19.044,41.4,"2018/2019","Brazylia",19,10,2,7,28,23,5,32
"Botafogo de Futebol e Regatas","Estádio Olímpico Nilton Santos",46931,334570,17.609,37.5,"2018/2019","Brazylia",19,9,2,8,19,17,2,29
"Clube Atlético Paranaense","Ligga Arena",42372,311406,16.39,38.7,"2018/2019","Brazylia",19,12,3,4,26,11,15,39
"Goiás EC","Estádio de Hailé Pinheiro",14525,284185,14.957,103,"2018/2019","Brazylia",19,11,3,5,31,23,8,36
"Centro Sportivo Alagoano (AL)","Estádio Rei Pelé",20000,230021,12.106,60.5,"2018/2019","Brazylia",19,6,5,8,17,24,-7,23
"Santos FC","Estádio Urbano Caldeira",20120,197352,10.387,51.6,"2018/2019","Brazylia",19,14,4,1,44,15,29,46
"Avaí FC","Estádio Aderbal Ramos da Silva",17800,158371,8.335,46.8,"2018/2019","Brazylia",19,1,9,9,10,24,-14,12
"Associação Chapecoense de Futebol","Arena Condá",22600,129490,6.815,30.2,"2018/2019","Brazylia",19,4,5,10,16,22,-6,17
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,0,0,0,"2019/2020","Brazylia",19,8,7,4,29,23,6,31
"Grêmio Porto Alegre","Arena do Grêmio",60540,0,0,0,"2019/2020","Brazylia",19,10,6,3,34,23,11,36
"Santos FC","Estádio Urbano Caldeira",20120,0,0,0,"2019/2020","Brazylia",19,9,7,3,35,23,12,34
"Atlético Mineiro","Arena MRV",46000,0,0,0,"2019/2020","Brazylia",19,14,4,1,41,13,28,46
"Botafogo de Futebol e Regatas","Estádio Olímpico Nilton Santos",46931,0,0,0,"2019/2020","Brazylia",19,3,5,11,16,30,-14,14
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,0,0,0,"2019/2020","Brazylia",19,10,7,2,29,16,13,37
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,0,0,0,"2019/2020","Brazylia",19,11,4,4,35,23,12,37
"Clube Atlético Paranaense","Ligga Arena",42372,0,0,0,"2019/2020","Brazylia",19,9,5,5,20,13,7,32
"Coritiba FC","Estádio Major Antônio Couto Pereira",40502,0,0,0,"2019/2020","Brazylia",19,4,6,9,13,19,-6,18
"Clube de Regatas Vasco da Gama","Estádio São Januário",24584,0,0,0,"2019/2020","Brazylia",19,7,5,7,21,21,0,26
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,0,0,0,"2019/2020","Brazylia",19,9,8,2,33,16,17,35
"Ceará Sporting Club","Estádio Governador Plácido Castelo",60326,0,0,0,"2019/2020","Brazylia",19,7,5,7,22,25,-3,26
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,0,0,0,"2019/2020","Brazylia",19,11,5,3,31,14,17,38
"Goiás EC","Estádio de Hailé Pinheiro",14525,0,0,0,"2019/2020","Brazylia",19,6,5,8,19,28,-9,23
"Internacional Porto Alegre","Estádio Beira-Rio",50848,0,0,0,"2019/2020","Brazylia",19,12,5,2,34,17,17,41
"Sport Club do Recife","Estádio Adelmar da Costa Carvalho",35000,0,0,0,"2019/2020","Brazylia",19,8,2,9,19,23,-4,26
"Red Bull Bragantino","Estádio Nabi Abi Chedid",15010,0,0,0,"2019/2020","Brazylia",19,10,5,4,34,19,15,35
"Esporte Clube Bahia","Arena Fonte Nova",47364,0,0,0,"2019/2020","Brazylia",19,9,2,8,27,26,1,29
"Fortaleza Esporte Clube","Estádio Governador Plácido Castelo",60326,0,0,0,"2019/2020","Brazylia",19,8,6,5,20,15,5,30
"Atlético Clube Goianiense","Estádio Antonio Accioly",13000,0,0,0,"2019/2020","Brazylia",19,6,9,4,24,21,3,27
"Atlético Mineiro","Arena MRV",46000,422997,42.3,92,"2020/2021","Brazylia",19,17,1,1,42,13,29,52
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,262326,32.791,66.6,"2020/2021","Brazylia",19,10,5,4,26,18,8,35
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,226108,28.264,39.2,"2020/2021","Brazylia",19,7,9,3,18,15,3,30
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,219035,21.904,27.8,"2020/2021","Brazylia",19,13,1,5,31,15,16,40
"Fortaleza Esporte Clube","Estádio Governador Plácido Castelo",60326,176307,19.59,32.5,"2020/2021","Brazylia",19,11,4,4,26,19,7,37
"Ceará Sporting Club","Estádio Governador Plácido Castelo",60326,150523,18.815,31.2,"2020/2021","Brazylia",19,10,7,2,24,14,10,37
"Esporte Clube Bahia","Arena Fonte Nova",47364,147989,18.499,39.1,"2020/2021","Brazylia",19,8,5,6,27,22,5,29
"Internacional Porto Alegre","Estádio Beira-Rio",50848,130130,14.459,28.4,"2020/2021","Brazylia",19,8,6,5,29,22,7,30
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,111175,15.882,36.3,"2020/2021","Brazylia",19,11,3,5,33,26,7,36
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,107581,13.448,16.4,"2020/2021","Brazylia",19,11,5,3,24,14,10,38
"Grêmio Porto Alegre","Arena do Grêmio",60540,84303,14.051,23.2,"2020/2021","Brazylia",19,8,6,5,29,21,8,30
"Cuiabá Esporte Clube (MT)","Arena Pantanal",42968,82424,10.303,24,"2020/2021","Brazylia",19,7,6,6,18,20,-2,27
"Clube Atlético Paranaense","Ligga Arena",42372,82343,10.293,24.3,"2020/2021","Brazylia",19,8,5,6,23,21,2,29
"Santos FC","Estádio Urbano Caldeira",20120,75710,9.464,47,"2020/2021","Brazylia",19,9,6,4,21,14,7,33
"Esporte Clube Juventude","Estádio Alfredo Jaconi ",23726,56468,8.067,34,"2020/2021","Brazylia",19,9,6,4,19,15,4,33
"Atlético Clube Goianiense","Estádio Antonio Accioly",13000,46914,5.864,45.1,"2020/2021","Brazylia",19,6,10,3,17,14,3,28
"Sport Club do Recife","Estádio Adelmar da Costa Carvalho",35000,40940,5.118,14.6,"2020/2021","Brazylia",19,5,7,7,13,13,0,22
"Red Bull Bragantino","Estádio Nabi Abi Chedid",15010,20646,2.581,17.2,"2020/2021","Brazylia",19,7,9,3,28,20,8,30
"América Futebol Clube (MG)","Estádio Raimundo Sampaio",25000,20273,2.896,11.6,"2020/2021","Brazylia",19,9,6,4,22,11,11,33
"Associação Chapecoense de Futebol","Arena Condá",22600,14740,1.638,7.3,"2020/2021","Brazylia",19,0,6,13,13,32,-19,6
"Flamengo Rio de Janeiro","Estádio Jornalista Mário Filho",78838,1035098,54.479,69.1,"2021/2022","Brazylia",19,11,3,5,37,15,22,36
"Sport Club Corinthians Paulista","Neo Química Arena ",49205,739070,38.898,79.1,"2021/2022","Brazylia",19,12,4,3,24,11,13,40
"Sociedade Esportiva Palmeiras","Allianz Parque",43713,682910,35.943,82.2,"2021/2022","Brazylia",19,13,4,2,39,12,27,43
"Fortaleza Esporte Clube","Estádio Governador Plácido Castelo",60326,626267,32.961,54.6,"2021/2022","Brazylia",19,7,8,4,24,13,11,29
"Atlético Mineiro","Arena MRV",46000,598585,31.504,68.5,"2021/2022","Brazylia",19,8,5,6,25,18,7,29
"Fluminense Football Club","Estádio Jornalista Mário Filho",82238,579192,30.484,37.1,"2021/2022","Brazylia",19,12,3,4,39,20,19,39
"FC Sao Paulo","Estádio Cícero Pompeu de Toledo",72039,572517,30.132,41.8,"2021/2022","Brazylia",19,8,6,5,32,21,11,30
